停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄
公有免費停車場,100,停2立體停車場,臺南市新市區環東路1段與南科二路,,-1,0,417,6,0,0,70,2,,,23.096305，120.284649,南科管理局
公有免費停車場,101,管理局地下停車場,臺南市新市區環東路1段與南科三路,,-1,0,402,14,0,0,467,6,,,23.101229，120.282238,南科管理局
公有免費停車場,102,管理局戶外平面停車場,臺南市新市區環東路1段,,-1,0,227,2,0,0,46,0,,,23.102632，120.283831,南科管理局
公有免費停車場,103,社區中心停車場,臺南市新市區大順七路與大順三路,,-1,0,121,2,0,0,144,0,,,23.102632，120.283831,南科管理局
公有免費停車場,104,西拉雅廣場(公8)停車場,臺南市新市區南科五路,,-1,0,98,5,0,0,153,1,,,23.104160，120.282885,南科管理局
公有免費停車場,105,廣停4停車場,臺南市新市區南科五路與環東路2段,,-1,0,463,6,0,0,135,2,,,23.104160，120.282885,南科管理局
公有免費停車場,106,停6停車場,臺南市新市區環西路1段,,-1,0,83,0,0,0,51,1,,,23.277554，120.320535,南科管理局
公有免費停車場,107,停4停車場,臺南市新市區南科三路與南科南路,,-1,0,71,2,0,0,36,2,,,23.098677，120.280100,南科管理局
公有免費停車場,108,停8停車場,臺南市新市區南科三路與環西路1段,,-1,0,313,4,0,0,207,0,,,23.098490，120.274981,南科管理局
公有免費停車場,109,霞客湖停車場,臺南市新市區環西路2段,,-1,0,78,0,0,0,87,0,,,23.104551，120.274499,南科管理局
公有免費停車場,110,停一,臺南市新市區曼陀林路(新晶43-1、新晶45-1),,-1,0,86,2,0,0,0,0,,,23.094786，120.254409,樹谷園區
公有免費停車場,111,停六,臺南市新市區紫楝路(新晶69-1),,-1,9,148,4,0,0,46,3,,,23.101349，120.268310,樹谷園區
公有免費停車場,112,停八,臺南市新市區曼陀林路(新晶23-2、新晶26-0),,-1,0,338,7,0,0,21,1,,,23.102496，120.254588,樹谷園區
公有免費停車場,113,停九,臺南市新市區堤塘港路(新晶77-1),,-1,0,114,3,0,0,24,3,,,23.095249，120.264296,樹谷園區
公有免費停車場,114,廣停2停車場,臺南市善化區南科七路與三抱竹路,,-1,0,189,4,0,0,252,1,,,23.107428，120.269678,南科管理局
公有免費停車場,115,南科七路路側停車場,臺南市善化區南科七路,,-1,0,20,2,0,0,85,2,,,23.108519，120.271250,南科管理局
公有免費停車場,116,公2停車場,臺南市善化區環西路2段,,-1,0,10,0,0,0,292,0,,,23.111104，120.270228,南科管理局
公有免費停車場,117,停14停車場,臺南市善化區北園一路,,-1,0,85,2,0,0,164,2,,,23.123184，120.267339,南科管理局
公有免費停車場,118,廣停3停車場,臺南市善化區南科七路與環東路2段,,-1,0,534,6,0,0,512,0,,,23.112047，120.280970,南科管理局
公有免費停車場,119,公5停車場,臺南市善化區南科八路與環東路2段,,-1,0,57,5,0,0,36,0,,,23.116299，120.280436,南科管理局
公有免費停車場,120,停20停車場,臺南市善化區環東路2段,,-1,0,188,4,0,0,70,0,,,23.117845，120.279399,南科管理局
公有免費停車場,121,停1,臺南市柳營區工一路南側(義士段114地號),,-1,0,134,8,0,0,52,6,,,23.283375，120.357482,柳營科技工業區
公有免費停車場,122,停2,臺南市柳營區環園東路東側(光洋旁)(義士段182地號),,-1,0,151,5,0,0,32,6,,,23.277730，120.361661,柳營科技工業區
公有免費停車場,123,停3,臺南市柳營區環園西路與工七路口(德元段258-264地號),,-1,0,170,4,0,0,66,2,,,23.272435，120.353089,柳營科技工業區
公有免費停車場,124,停4,臺南市柳營區環園東路東側(榮聖旁)(德元段11地號),,-1,0,113,3,0,0,50,1,,,23.269439，120.360795,柳營科技工業區
公有免費停車場,125,停5,臺南市柳營區環園東路東側(公園旁)(義士段170地號),,-1,0,112,8,0,0,9,2,,,23.280634，120.362307,柳營科技工業區
公有免費停車場,126,停1停車場,臺南市永康區王行段9地號,,-1,0,67,3,0,0,23,1,,,23.043913，120.274790,永康科技園區
公有免費停車場,127,停2停車場,臺南市永康區王行里16鄰永科東路300號(王行段37地號),,-1,0,24,1,0,0,53,1,,,23.043913，120.274790,永康科技園區
公有免費停車場,128,停3停車場,臺南市永康區王行里16鄰永科一路19號(王行段110地號),,-1,0,68,2,0,0,60,1,,,23.043913，120.274790,永康科技園區
公有免費停車場,129,停4停車場,臺南市永康區王行里16鄰永科環路309號(王行段93地號),,-1,0,66,2,0,0,39,1,,,23.040545，120.274313,永康科技園區
公有免費停車場,130,停5停車場,臺南市永康區王行里16鄰永科三路77號(王行段116地號),,-1,0,58,2,0,5,57,1,,,23.041335，120.278321,永康科技園區
公有免費停車場,131,停6停車場,臺南市永康區王行里16鄰永科環路199號(王行段209地號),,-1,0,51,2,0,0,19,1,,,23.036180，120.275610,永康科技園區
公有免費停車場,132,停7停車場,臺南市永康區王行里16鄰永科東路3號(王行段148地號),,-1,0,56,2,0,0,49,1,,,23.037014，120.281659,永康科技園區
公有免費停車場,133,停8停車場,臺南市永康區王行里16鄰永科南路160號(王行段211地號),,-1,0,36,1,0,0,40,1,,,23.033077，120.276847,永康科技園區
公有免費停車場,134,光賢街臨時停車場,臺南市中西區文中51，文小55,,-1,0,104,2,0,0,65,0,,,23.004325，120.189348,教育局土地(代為規劃)
公有免費停車場,135,108期總安一自辦重劃，廣停9,臺南市安南區洲南六街(加油站後面),,-1,0,34,2,0,0,0,0,,,23.058128，120.217987,
公有免費停車場,136,滯C北側停車場,臺南市善化區環西路2段與北園二路,,-1,0,10,0,0,0,0,0,,,23.118107，120.268919,南科管理局
公有免費停車場,137,水5停車場,臺南市善化區三抱竹路,,-1,0,38,0,0,0,28,0,,,23.115621，120.265121,南科管理局
公有免費停車場,138,漁光島停車場,臺南市安平區漁光路海巡隊哨站東側,,-1,0,99,3,3,3,0,0,,,22.987749，120.152389,
公有免費停車場,139,顯草街機車停車場,臺南市安南區顯草街與媽祖宮一街口東南側,,-1,0,0,0,0,0,63,2,,,23.036534，120.125126,
公有免費停車場,140,新營客轉市地重劃，廣停1,臺南市新營區新營區新運四街、新運二路(轉運站西側),,-1,5,59,2,2,4,103,2,,,23.310985，120.282299,公運處經管
公有免費停車場,141,新營客轉市地重劃，廣停2,臺南市新營區新營區新運三路與新運二路口西南側,,-1,4,7,1,1,1,0,0,,,23.30984，120.283439,
公有免費停車場,149,樹林街2段254號旁臨時機車停車場,臺南市中西區台南市中西區樹林街2段254號,2267151,-1,0,0,0,0,0,48,2,,,22.986135，120.202624,1070201停收 認養
公有免費停車場,150,城平路外免費停車場,臺南市安平區安平漁港管理中心兩側,,-1,40,315,0,0,0,0,0,,,22.993024，120.152138,
公有免費停車場,151,城平路邊免費停車場,臺南市安平區城平路兩側,,-1,0,113,0,0,0,0,0,,,22.994867，120.146567,
公有免費停車場,152,漁濱路邊免費停車場,臺南市安平區漁濱路兩側,,-1,79,0,0,0,0,0,0,,,22.993654，120.143753,
公有免費停車場,153,安港路邊免費停車場,臺南市安平區安港路兩側,,-1,0,69,0,0,0,0,0,,,22.990879，120.147844,
