名稱,重要地標,地址,緯度,經度,充電車位數量
文昌國小地下停車場,文昌國小,臺北市士林區文林路615巷20號,25.09954169880413, 121.52198529729134,4
百齡高中地下停車場,百齡高中,臺北市士林區承德路4段175號,25.08601010347664, 121.52370752612609,2
承德公園地下停車場,承德公園,臺北市士林區基河路150號,25.09005334688974, 121.5225282972912,2
前港公園地下停車場,前港公園,臺北市士林區前港街45號,25.086034337087053, 121.52114072612623,4
海光公園地下停車場,海光公園,臺北市士林區葫蘆街83號,25.081177214031907, 121.50849199729103,2
福林公園地下停車場,福林公園,臺北市士林區中正路17號,25.096230984143432, 121.53078672612641,2
蘭雅公園地下停車場,蘭雅公園,臺北市士林區德行東路129巷31號,25.10978368252553, 121.52937712797241,2
大稻埕公園地下停車場,大稻埕公園,臺北市大同區歸綏街243號,25.058675063695564, 121.51056898379589,2
大龍國小地下停車場,大龍國小,臺北市大同區哈密街47號,25.073593622207536, 121.51667103962052,2
市民大道公中段地下停車場,市民大道公中段地下停車場,臺北市大同區公園路-中山北路,25.048453014789715, 121.51919934193698,8
市民大道塔城段地下停車場,市民大道塔城段地下停車場,臺北市大同區西寧北路-塔城街,25.0505728694784, 121.5097903671846,8
成淵高中地下停車場,成淵高中,臺北市大同區承德路2段235號之1,25.06133517218928, 121.51904811078536,2
建成公園地下停車場,建成公園,臺北市大同區承德路2段31號,25.054230790093804, 121.51840713962031,2
建成國中地下停車場,建成國中,臺北市大同區長安西路37號之一,25.05061269612016, 121.51965739729036,2
啟聰學校地下停車場,啟聰學校,臺北市大同區延平北路4段205號,25.07451790307702, 121.51168453962063,2
朝陽公園地下停車場,朝陽公園,臺北市大同區重慶北路2段68號,25.056384905682865, 121.51370899729055,5
塔城公園地下停車場,塔城公園,臺北市大同區塔城街11號,25.051133975659166, 121.51072106845534,2
蓬萊國小地下停車場,蓬萊國小,臺北市大同區寧夏路35號,25.05654279043067, 121.51573115496072,2
大安高工地下停車場,大安高工,臺北市大安區信義路3段166巷6弄12號,25.03297318859007, 121.54192771263043,4
大安森林公園地下停車場,大安森林公園,臺北市大安區建國南路2段2號,25.032804225769958, 121.53625748379532,5
市民大道延吉段地下停車場,市民大道延吉段地下停車場,臺北市大安區延吉街兩側,25.04469126629659, 121.55212199729029,2
市民大道建復段地下停車場,市民大道建復段地下停車場,臺北市大安區建國北路-復興南路,25.045020466080743, 121.54055635680614,2
市民大道復敦段地下停車場,市民大道復敦段地下停車場,臺北市大安區復興南路-敦化南路,25.045160985132608, 121.54740042612544,2
市民大道敦延段地下停車場,市民大道敦成段,臺北市大安區敦化南路-延吉街,25.0452776256839, 121.54741115496053,2
金華公園地下停車場,金華公園,臺北市大安區金華街190號,25.029872494487652, 121.53027018194948,2
附中公園地下停車場,附中公園,臺北市大安區復興南路1段340巷11號,25.036426840499598, 121.5426009261251,2
僑安地下停車場,僑安地下停車場,臺北市大安區忠孝東路4段306號,25.041301191253265, 121.55670105496036,2
嘉興公園地下停車場,嘉興公園,臺北市大安區嘉興街373號,25.03207243251775, 121.55829868194964,2
龍門國中地下停車場,龍門國中,臺北市大安區建國南路2段269號,25.02488716061858, 121.53818633961959,4
市民大道中林段地下停車場,市民大道中林段地下停車場,臺北市中山區中山北路-林森北路,25.047768766622347, 121.52557812546081,2
市民大道林金段地下停車場,市民大道林金段地下停車場,臺北市中山區林森北路-金山北路,25.048077497802176, 121.52233321514397,2
永盛公園地下停車場,永盛公園,臺北市中山區中山北路2段93巷30號,25.059446181405725, 121.5248111703012,2
林森公園地下停車場,林森公園,臺北市中山區南京東路1段35號,25.053301891641123, 121.52695272612553,2
長安國小地下停車場,長安國小,臺北市中山區松江路90巷14號,25.05049659631349, 121.53069748379573,2
進安公園地下停車場,進安公園,臺北市中山區八德路2段158號,25.04638576294143, 121.53771276845522,3
